,index,alcoholName,sweetness,sourness,freshness,body,degree,sparkling,alcoholType,keywords,volume,price,manufacturer,ingredients,brewery,description,representative,address,contact,website,foodPairing,imageURL,detailPageUrl,docId
447,447,초선의 꿈 (로제),1.0,3.0,,2,12,0.0,과실주,신맛   목넘김  탄닌감  과실주 포도  기념일,375ml,20000,여포와인농장,국내산 포도 100%,,"여포 농장이 위치한 충북 영동 지역은 일교차가 크고 충분한 햇볕을 받아 과일의 향이 좋고 색이 아름답기로 유명하다. 무농약, 무제초, 무비료의 3대 원칙으로 자연이 주는 위대한 힘에 자라는 작물로 담그는 와인은 한국적인 맛을 그대로 담았다는 평가를 받고 있다.",,,,,견과류와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3551521-%EC%B4%88%EC%84%A0%EC%9D%98%20%EA%BF%88%20%EB%A1%9C%EC%A0%9C_main.jpg,https://terms.naver.com/entry.naver?docId=3551521&cid=58637&categoryId=58653,3551521
448,448,추사40,,,,3,40,0.0,증류주,향기    바디감     증류주 사과  과일류,500ml,60000,예산사과와인(주),사과(국내산),,"농업회사법인 예산사과와인에서 직접 재배한 사과를 증류하여 프랑스의 칼바도스와 동일하게 오크통 숙성한 사과증류주이다. 2010년부터 연구 개발하여 7년 만에 출시한 제품이다. 가당하지 않고 사과를 발효, 상압 다단식 동증류기를 사용하여 두 번 증류하여 오크통에 숙성한 제품으로 사과의 은은한 풍미가 느껴지며 바닐라 향과 초콜릿 향이 나며 뒤끝이 깨끗한 술이다.",,,,,생굴과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681205-%EC%B6%94%EC%82%AC40_main.jpg,https://terms.naver.com/entry.naver?docId=5681205&cid=58637&categoryId=58654,5681205
449,449,추사 로제,2.0,3.0,2.0,1,12,0.0,과실주,신맛       과실주 사과,375ml,20000,예산사과와인(주),사과(국내산),,"사과의 표면만 아니라 속까지 빨간색을 띄는 ""레드러브(Red Love)"" 품종으로 만들어진 와인으로 일반적인 사과와인이 맑고 꿀물 같은 황금빛 인데 비해 속 빨간 사과를 이용하여 양조를 했기 때문에 장미색을 띄어 로제와인이라 지칭한다. 안토시아닌이 후지 사과보다 15배 이상 높은 건강기능성 사과이며 식감은 시중에 나와 있는 사과보다 더 아삭하고 새콤한 맛이 강하다. 예산 지역 내 빨간 사과 농가와 계약재배를 통해 공급받아 생산하고 있다. 사과 특유의 산미가 강해서 상큼하고 깔끔한 맛이 특징이다.",,,,,"사과가 들어간 파이, 과실 샐러드 등과 함께하면 좋다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681206-%EC%B6%94%EC%82%AC%20%EB%A1%9C%EC%A0%9C_main.jpg,https://terms.naver.com/entry.naver?docId=5681206&cid=58637&categoryId=58654,5681206
450,450,추사백25,3.0,,,2,25,0.0,증류주,향기 단맛        증류주  과일류,350ml,12000,예산사과와인,"증류원액(사과증류원액, 사과: 국내산), 정제수",,"예산사과는 100여 년의 오랜 재배 역사 속에서 축적된 풍부한 경험과 정성을 바탕으로 비옥한 황토땅, 풍부한 일조량 등 좋은 환경 속에서 1200여 농가가 연간 3만톤 정도의 사과를 생산하고 있다.",,,,,"함께 먹기에 어울리는 음식으로 생갈비, 지리탕이 있다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6598725-%EC%B6%94%EC%82%AC%EB%B0%B125_main.jpg,https://terms.naver.com/entry.naver?docId=6598725&cid=58637&categoryId=58654,6598725
451,451,추사블루,3.0,1.0,2.0,3,12,0.0,과실주,단맛   바디감     과실주 베리  이색전통주,375ml,20000,예산사과와인(주),블루베리(국내산),,"충남 예산에서 친환경 농법으로 재배한 블루베리로 만든 와인이다. 추사 애플와인의 제조사로 유명한 예산사과와인의 신제품으로 물이나 주정을 첨가하지 않고 한 달간의 저온발효와 1년 이상의 숙성 과정을 거치는 정통 와인 제조방식으로 제조되고 있다. 예산군에서는 100여곳의 농가에서 우수한 품질의 블루베리를 재배하고 있다. 블루베리는 타임지 선정 세계 10대 건강음식으로 꼽히고 있으며 눈건강, 뇌건강에 좋은 식품으로 알려져 각광 받고 있다.",,,,,블루베리나 사과로 만든 파이와 함께 먹으면 좋다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595303-%EC%B6%94%EC%82%AC%EB%B8%94%EB%A3%A8375ml_main.JPG,https://terms.naver.com/entry.naver?docId=3595303&cid=58637&categoryId=58654,3595303
452,452,추사 애플와인,3.0,1.0,2.0,3,12,0.0,과실주,단맛   바디감     과실주 사과  선물,375ml,20000,예산사과와인(주),사과(국내산),,충남 예산 황토사과를 이용해 생산하는 추사 애플와인은 물이나 주정을 첨가하지 않고 한 달간의 저온발효와 1년 이상의 숙성 과정을 거치는 정통 와인 제조방식으로 제조되고 있다. 국내외 주류품평회에서 매년 우수한 성적을 거두고 있는 제품으로 꿀물과 같은 황금빛 색깔에 금가루가 들어 있다. 장인이 사과농사를 짓고 사위가 와인을 만들고 다양한 체험관광 프로그램이 마련되어 있어 농업 6차산업의 성공모델로 조명 받고 있다.,,,,,닭 백숙과 함께 먹으면 좋다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595302-%EC%B6%94%EC%82%AC%20%EC%95%A0%ED%94%8C%EC%99%80%EC%9D%B8375ml_main.jpg,https://terms.naver.com/entry.naver?docId=3595302&cid=58637&categoryId=58654,3595302
453,453,추성주,2.0,0.0,3.0,2,25,0.0,증류주,청량감      증류주 쌀 오미자 구기자  선물,700ml,80000,추성고을,"쌀, 정제수, 누룩, 오미자, 구기자, 상심자, 갈근",,"추성주는 신라 경덕왕 때부터 고려 성종 때까지 250여 년간 추성군으로 불린 담양의 지명에서 따온 술이다. '연동사라는 절에 늙은 살쾡이가 몰래 그 술을 마시던 중, 절에서 공부하는 사람에게 발각되자 자신을 살려준다면 일평생 도움되는 비밀의 책을 주겠다고 했고 그 책을 받은 이영간 이라는 사람이 술을 빚어 전해졌다'라는 전설, 그 전설의 술이 1000년의 역사를 이어 추성주라는 명주로써 이름을 떨치고 있다.",,,,,육포와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3551511-%EC%B6%94%EC%84%B1%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=3551511&cid=58637&categoryId=58656,3551511
454,454,추시와인,3.0,2.0,2.0,3,12.5,0.0,기타주류,단맛   바디감     기타주류,750ml,16000,양촌감영농조합법인,감(국내산) 100%,,'추시와인'은 충청남도 논산에서 재배한 감을 활용해 만든 와인이다. 늦가을 수확한 홍시를 와인으로 개발하기 위해 홍국균을 이용한 전문적인 발효기술을 개발하고 고유의 풍미를 내기 위해 10여년을 연구하여 만들어낸 제품이다. 홍국와 카테닌(타닌)으로 옅은 붉은색을 띄며 감 고유의 은은한 향과 입안을 감싸는 독특한 떫은맛이 매력적인 술이다.,,,,,삼겹살 등 구운 고기류와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804433-%EC%B6%94%EC%8B%9C%EC%99%80%EC%9D%B8_main.jpg,https://terms.naver.com/entry.naver?docId=5804433&cid=58637&categoryId=58654,5804433
455,455,충주 백주,,,,3,35,0.0,증류주,향기    바디감     증류주 쌀,375ml,7800,고헌정영농조합법인,"쌀증류원액(국내산), 당귀, 아스파탐, 아세설팜K, 구연산, 정제수",,"'충주 백주'는 물맑은 충주에 자리잡은 고헌정영농조합법인에서 만든 일반증류주다. 천등산에서 내려온 깨끗한 맥반암반수와 100% 국내산 쌀로 빚어 쌀 내음 가득한 술이다. 고헌정영농조합법인만의 독특한 3단 사입방식으로 청주를 증류하여 감압식 증류와 100일간의 숙성과정을 거쳐 만들어진다. 증류주의 독한 맛, 누룩향, 화근향을 없애고 부드러움을 더한 술이다.",,,,,알코올 도수가 높아 바로 마시기 어렵다면 얼음이나 시원한 탄산수를 넣어 희석해서 마셔도 좋다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040731-%EC%B6%A9%EC%A3%BC%20%EB%B0%B1%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=6040731&cid=58637&categoryId=58653,6040731
456,456,컨츄리 산머루 와인 (드라이),1.0,3.0,,3,14,0.0,과실주,신맛  바디감 목넘김    과실주 머루,750ml,20000,컨츄리농원,국산 산머루원액 100%,,"천혜의 자연조건으로 포도의 당도가 높고 맛이 좋기로 유명한 충북 영동은 지역의 컨츄리 와이너리. 30년의 포도농사 노하우로 직접 재배한 포도와 산머루를 사용하여 와인을 빚고 있으며, 마음 놓고 마실 수 있도록 첨가제를 전혀 넣지 않고 만드는 수제 와인으로도 유명한 와이너리다.",,,,,오리구이와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3551517-%EC%BB%A8%EC%B8%84%EB%A6%AC%20%EC%82%B0%EB%A8%B8%EB%A3%A8%20%EC%99%80%EC%9D%B8%20%EB%93%9C%EB%9D%BC%EC%9D%B4_main.jpg,https://terms.naver.com/entry.naver?docId=3551517&cid=58637&categoryId=58653,3551517
