,index,alcoholName,sweetness,sourness,freshness,body,degree,sparkling,alcoholType,keyword,volume,price,manufacturer,ingredients,foodPairing,imageURL,detailPageUrl,docId
10,10,가을빛 레드와인,2.0,3.0,3.0,2,,0.0,,신맛 청량감      과실주 포도,,,,,"다만 탄닌감은 적은 만큼 스테이크 등의 고기류보다는 나물, 잡채 등과 같은 자극성 적은 한식요리에 추천하고 싶다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804502-%EA%B0%80%EC%9D%84%EB%B9%9B%20%EB%A0%88%EB%93%9C%EC%99%80%EC%9D%B8_main.jpg,https://terms.naver.com/entry.naver?docId=5804502&cid=58637&categoryId=58657,5804502
11,11,가평잣생막걸리,2.0,2.0,3.0,3,6,0.0,탁주,청량감 바디감     탁주 쌀,750ml,1450,가평우리술,"쌀,정제수,쌀입국,잣,효모,정제효소등",,,,legacy_11
12,12,감그린 레귤러,3.0,3.0,3.0,2,,0.0,,단맛 신맛 청량감      과실주  이색전통주,,,,,다만 자극성 적은 소고기류가 좋다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681174-%EA%B0%90%EA%B7%B8%EB%A6%B0%20%EB%A0%88%EA%B7%A4%EB%9F%AC_main.jpg,https://terms.naver.com/entry.naver?docId=5681174&cid=58637&categoryId=58657,5681174
13,13,감그린 스페셜,3.0,3.0,3.0,3,,0.0,,단맛 신맛 청량감 바디감     과실주  이색전통주,,,,,다만 자극성 적은 소고기류가 좋다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681175-%EA%B0%90%EA%B7%B8%EB%A6%B0%20%EC%8A%A4%ED%8E%98%EC%85%9C_main.jpg,https://terms.naver.com/entry.naver?docId=5681175&cid=58637&categoryId=58657,5681175
14,14,감그린 아이스와인,4.0,2.0,2.0,4,,0.0,,단맛   바디감     과실주  이색전통주,,,,,"가벼운 맛의 모짜렐라 치즈부터 카망베르, 스모키 치즈까지 다양한 조합을 이룬다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681179-%EA%B0%90%EA%B7%B8%EB%A6%B0%20%EC%95%84%EC%9D%B4%EC%8A%A4%EC%99%80%EC%9D%B8_main.jpg,https://terms.naver.com/entry.naver?docId=5681179&cid=58637&categoryId=58657,5681179
15,15,감 보드카,,,,3,,0.0,,바디감 목넘김    증류주,,,,,붉은 빛이 도는 생선회랑 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804452-%EA%B0%90%20%EB%B3%B4%EB%93%9C%EC%B9%B4_main.jpg,https://terms.naver.com/entry.naver?docId=5804452&cid=58637&categoryId=58654,5804452
16,16,감사,2.0,2.0,,2,,0.0,,목넘김 담백   약주/청주 쌀  선물,,,,,전골류와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3551564-%EA%B0%90%EC%82%AC_main.jpg,https://terms.naver.com/entry.naver?docId=3551564&cid=58637&categoryId=58651,3551564
17,17,감아락25,2.0,,,2,25,0.0,증류주,증류주 쌀  가을,500ml,26000,(주)배상면주가,"감증류원액,쌀",,,,legacy_17
18,18,감악산 머루주,4.0,4.0,3.0,3,,0.0,,단맛 신맛 청량감 바디감     과실주 머루,,,,,"와인을 잘 못 마신다면, 추천하고 싶은 과실주이기도 하다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040721-%EA%B0%90%EC%95%85%EC%82%B0%20%EB%A8%B8%EB%A3%A8%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=6040721&cid=58637&categoryId=58651,6040721
19,19,감이슬,,,,2,,0.0,,증류주  과일류,,,,,감이슬은 도수가 낮고 부드러워 누구나 편하게 마실 수 있는 증류주로 양념이 되지 않은 생선찜 등과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804451-%EA%B0%90%EC%9D%B4%EC%8A%AC_main.jpg,https://terms.naver.com/entry.naver?docId=5804451&cid=58637&categoryId=58654,5804451
20,20,감자술 13%,3.0,2.0,3.0,2,,0.0,,단맛  청량감      약주/청주 감자  선물,,,,,기름진 감자전하고 즐기면 딱 좋은 맛이다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804435-%EA%B0%90%EC%9E%90%EC%88%A0%2013_main.jpg,https://terms.naver.com/entry.naver?docId=5804435&cid=58637&categoryId=58652,5804435
21,21,감홍로 백자,3.0,,,4,,0.0,,향기 단맛   바디감     증류주 쌀 약재,,,,,육회와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595219-%EA%B0%90%ED%99%8D%EB%A1%9C%20%EB%B0%B1%EC%9E%90_main.jpg,https://terms.naver.com/entry.naver?docId=3595219&cid=58637&categoryId=58651,3595219
22,22,감홍로 청자,3.0,,,4,,0.0,,향기 단맛   바디감     증류주 쌀 약재,,,,,육회와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595220-%EA%B0%90%ED%99%8D%EB%A1%9C%20%EC%B2%AD%EC%9E%90_main.jpg,https://terms.naver.com/entry.naver?docId=3595220&cid=58637&categoryId=58651,3595220
