index,제품명,단맛,신맛,청량감,바디감,도수%,탄산,주종,keyword,용량,가격,제조사,원재료,어울리는음식,사진URL,detailPageUrl,docId
407,줄포생막걸리,2.0,2.0,3.0,4,6,0.0,탁주,청량감 바디감     탁주 쌀,750ml,1200,내변산(동진주조),"쌀,종국정제수,누룩,효모,아스파탐",,,,legacy_403
408,지란지교무화과탁주,4.0,4.0,1.0,4,12,0.0,탁주,단맛 신맛  바디감  담백   탁주 쌀 찹쌀 밀  과일류,500ml,15000,(유)친구들의술지란지교,"찹쌀,멥쌀,전통누룩,정제수,무화과청,레드비트분말,밀함유",,,,legacy_404
409,지란지교약주,4.0,4.0,,4,17,0.0,약주/청주,단맛 신맛  바디감     약주/청주 쌀 찹쌀 밀  무감미료,375ml,20000,(유)친구들의술지란지교,"찹쌀·멥쌀,전통누룩,정제수,밀함유",,,,legacy_405
410,지란지교탁주,4.0,4.0,1.0,4,13,0.0,탁주,단맛 신맛  바디감  담백   탁주 쌀 찹쌀,500ml,15000,(유)친구들의술지란지교,"탁주찹쌀,멥쌀,누룩,정제수",,,,legacy_406
411,지리산정담생막걸리,1.0,3.0,2.0,1,6,0.0,탁주,신맛       탁주 쌀,750ml,1500,지리산그린영농조합운봉주조,"쌀,종국,정제수,누룩,효모",,,,legacy_407
412,지리산허브잎술,1.0,2.0,2.0,1,6,0.0,탁주,탁주 쌀,750ml,1500,지리산그린영농조합운봉주조,"쌀,종국,정제수,누룩,효모,국내산허브",,,,legacy_408
413,지장수생막걸리,3.0,2.0,3.0,3,6,0.0,탁주,단맛  청량감 바디감     탁주 쌀,750ml,1300,낙천,"정제수,쌀,효모,누룩,과당등",,,,legacy_409
414,지장수호박막걸리,2.0,1.0,1.0,2,6,0.0,탁주,탁주 쌀,550ml,5000,낙천,"정제수,쌀,효모,누룩,과당등",,,,legacy_410
415,지장수호박생막걸리,3.0,1.0,2.0,2,6,0.0,탁주,단맛        탁주 쌀,750ml,1400,낙천,"정제수,쌀,효모,누룩,과당등",,,,legacy_411
416,지평생쌀막걸리,4.0,1.0,4.0,2,5,0.0,탁주,단맛  청량감      탁주 쌀  가성비,1.7L,2700,지평주조,"쌀,정제수,국,효모,정제효소등",,,,legacy_412
417,지평생옛막걸리,4.0,1.0,2.0,2,5,0.0,탁주,단맛        탁주 밀  가성비,1.7L,2500,지평주조,"밀,정제수,국,분말종국,효모,정제효소등",,,,legacy_413
418,진도홍주루비콘,3.0,,,3,40,0.0,기타주류,향기 단맛   바디감     기타주류 쌀,375ml,10000,대대로영농조합법인,"쌀,누룩,지초,정제수",,,,legacy_414
419,진맥소주22,,,,2,22,0.0,증류주,향기         증류주 밀  홈술,375ml,22000,농업회사법인(주)밀과노닐다,유기농우리밀,,,,legacy_415
420,진맥소주40,,,,2,40,0.0,증류주,향기     목넘김    증류주 밀  홈술,200ml,22000,농업회사법인(주)밀과노닐다,유기농우리밀,,,,legacy_416
421,진맥소주53,,,,3,53,0.0,증류주,향기    바디감 목넘김    증류주 밀,200ml,39000,농업회사법인(주)밀과노닐다,유기농우리밀,,,,legacy_417
422,진심홍삼인삼주19,1.0,0.0,0.0,3,19,0.0,증류주,바디감     증류주 쌀 삼  삼(蔘)류,375ml,7000,태평주가,"쌀,정제주정,인삼침출액,홍삼농축액,고과당등",,,,legacy_418
423,진심홍삼인삼주38,1.0,0.0,0.0,2,38,0.0,증류주,증류주 쌀 삼,750ml,70000,태평주가,"쌀,정제주정,인삼침출액,홍삼농축액,고과당등",,,,legacy_419
424,진심홍삼주19,3.0,1.0,1.0,2,19,0.0,증류주,단맛        증류주 쌀 삼,375ml,3000,태평주가,"쌀,정제주정,인삼침출액,홍삼농축액,고과당등",,,,legacy_420
425,진쾌남,,,,3,25,0.0,기타주류,향기    바디감 목넘김    기타주류 쌀 오미자 구기자 밤 산수유 오가피,330ml,8500,농업회사법인사곡양조원,"국내산쌀,밤,누룩,구기자,오미자,산수유,오가피,동충하초,정제수",,,,legacy_421
